R,DeltaSigma,DeltaSigma_err
0.3729327685968546,88.21918790761272,28.23664750493519
0.5134009032980582,58.77289583006285,21.032598529829208
0.7069197598840422,32.52501585315137,15.635767797306231
0.9728563994496756,37.50364741473507,11.566468954341923
1.3390545316161655,25.029761407374068,8.515090996833152
1.842641741631441,17.121462423590064,6.241716160481601
2.5355260762557634,10.76813869246985,4.571355940486948
3.489115318765132,6.83647932031697,3.343082532660387
4.801170509768673,7.363248112640038,2.4394814122411224
6.606771462842435,5.109450067151636,1.7790239642109067
9.090728684677156,2.1227520531786386,1.297049159540164
12.508543950717383,3.0734411848949623,0.9442777841295822
17.21084538742346,3.610861561682048,0.6888288814047429
23.680635513352016,1.679252789176668,0.5024579910858314
32.58423786348785,0.7203819883276712,0.3674117995561591
