R_Mpc,DeltaSigma_2h_Msun_per_kpc2
0.3729327685968546,52697330.91917307
0.5134009032980582,50549118.075735845
0.7069197598840422,42137570.29462765
0.9728563994496756,34588892.87775471
1.3390545316161655,24573214.03799742
1.842641741631441,16533354.282368494
2.5355260762557634,9255401.942036845
3.489115318765132,4876156.296232397
4.801170509768673,2687579.8426951054
6.606771462842435,1743915.0968460985
9.090728684677156,1278237.6088283495
12.508543950717383,1000566.6436932153
17.21084538742346,807707.0247627817
23.680635513352016,661624.3362498024
32.58423786348785,526345.5584105069
