R_Mpc,DeltaSigma_2h_Msun_per_kpc2
0.3112966226460602,59604712.404955745
0.428345379206537,55384747.99563989
0.5895829195295708,45924225.7733299
0.811265298610661,35346248.38548835
1.1163703463530517,24412409.875624206
1.5370364281999067,16517344.15737466
2.1149463046353474,10673408.400474435
2.9109005231195644,6492781.123723723
4.005301985869169,3778843.844744285
5.510244649299509,2343295.2011877378
7.581800315919476,1665661.1254022287
10.43131315645296,1309244.7659461491
14.35440837036096,1059554.771047012
19.75278202115557,888928.673778335
27.177399776887423,716036.4170318502
