R_Mpc,DeltaSigma_data,DeltaSigma_err,DeltaSigma_1h_unscaled,A1h_best,DeltaSigma_1h_scaled,DeltaSigma_2h,DeltaSigma_total
0.3112966226460602,34776999.37388208,19827214.45366053,245619.18898420286,-101.39163574290679,-24903731.34095448,59604712.404955745,34700981.06400126
0.428345379206537,33577356.88654376,14803545.81926843,145866.29247904714,-101.39163574290679,-14789621.994203852,55384747.99563989,40595126.00143604
0.5895829195295708,35895355.60716556,10969977.486472923,86616.31886876014,-101.39163574290679,-8782170.252132792,45924225.7733299,37142055.52119711
0.811265298610661,24004261.745760422,8147637.701148626,51458.246689895095,-101.39163574290679,-5217435.804350482,35346248.38548835,30128812.581137873
1.1163703463530517,25103124.810664397,6008736.146053476,30564.881673232994,-101.39163574290679,-3099023.349137487,24412409.875624206,21313386.526486717
1.5370364281999067,18140062.63825354,4408291.500160797,18145.648067063754,-101.39163574290679,-1839816.9391347088,16517344.15737466,14677527.21823995
2.1149463046353474,14350470.21761536,3229222.830511821,10778.354806925405,-101.39163574290679,-1092835.024491589,10673408.400474435,9580573.375982845
2.9109005231195644,5160382.902906853,2352711.5775927203,6400.8509216350585,-101.39163574290679,-648992.745091071,6492781.123723723,5843788.378632652
4.005301985869169,3041382.8571935818,1714910.5296521685,3802.938379638972,-101.39163574290679,-385586.1429410748,3778843.844744285,3393257.70180321
5.510244649299509,2936821.577639002,1249734.6444865058,2259.974747218631,-101.39163574290679,-229142.53635815927,2343295.2011877378,2114152.6648295783
7.581800315919476,1971432.7182687903,912137.2740821636,1342.68030870609,-101.39163574290679,-136136.5527795015,1665661.1254022287,1529524.5726227271
10.43131315645296,1638478.7154697955,665579.6614112651,797.8963561238147,-101.39163574290679,-80900.01670069846,1309244.7659461491,1228344.7492454506
14.35440837036096,446929.4180751112,486321.6008019688,473.92236348445925,-101.39163574290679,-48051.76364883376,1059554.771047012,1011503.0073981782
19.75278202115557,390804.8946618074,355232.884558282,316.53153720140267,-101.39163574290679,-32093.65032106697,888928.673778335,856835.023457268
27.177399776887423,641360.8964906466,259723.9282222812,316.53153720140267,-101.39163574290679,-32093.65032106697,716036.4170318502,683942.7667107832
