R_Mpc,DeltaSigma_2h_Msun_per_kpc2
0.3729327685968546,54943430.92275505
0.5134009032980582,43537406.24948389
0.7069197598840422,35337284.34623502
0.9728563994496756,27961056.115657687
1.3390545316161655,19982606.818785284
1.842641741631441,14424486.744381232
2.5355260762557634,9647612.074443193
3.489115318765132,6532503.573434053
4.801170509768673,4643844.718331635
6.606771462842435,3476711.730394177
9.090728684677156,2833764.8183558276
12.508543950717383,2429851.848863354
17.21084538742346,2090311.8347461815
23.680635513352016,1772863.7108842824
32.58423786348785,1521845.5967225453
