R,DeltaSigma
0.04999999999999999,2604658.858336169
0.05626677913003825,2046582.3624438369
0.06331900867337016,1608079.826984241
0.07125513351514988,1263531.2301166344
0.08018593718756649,992805.918394062
0.0902360883413585,780086.4498674021
0.10154588104523678,612944.4415994999
0.11427319320674952,481614.4269030488
0.12859569045296723,378423.2965647982
0.14471330623583747,297341.9884944537
0.16285103278298912,233633.2327433672
0.1832620618539814,183574.7709850758
0.20623131914506757,144241.87923316646
0.23207944168063888,113336.48743272488
0.26116725371334204,89052.9120382856
0.29390080361374554,69972.35684762191
0.3307370320615074,54980.01817959635
0.3721901506625844,43199.95116945214
0.41883882003414585,33943.89166891233
0.4713342275589425,26671.043610938137
0.530409177569724,20956.482369051755
0.5968883208572181,16466.328040657023
0.67169966629945,12938.238124492853
0.755887535307831,10166.079854158
0.8506271399262945,7987.886650924365
0.9572409880849786,6276.395037554077
1.0772173450159415,4931.609121278003
1.2122310085411638,3874.9582171854886
1.3641666882433838,3044.706264360667
1.5351453148789247,2392.34482455152
1.7275536472961088,1879.7589201138387
1.9440775901540435,1477.0001220078914
2.187739687537092,1160.5367779178896
2.461941315853369,911.8791480322172
2.7705101650047452,716.499120439589
3.1177536706369553,562.9813892537518
3.5085191433519123,442.3565020591077
3.948261434249862,347.57680919674436
4.443119081371701,273.1046966169551
5.0,214.58904432263157
