k_1perMpc,P_Mpc3
6.740000000000001198e-05,1.011465353247194571e+03
6.782656560299385419e-05,1.017639109184377958e+03
6.825583088274819992e-05,1.023850512067227328e+03
6.868781292515689261e-05,1.030099791065088539e+03
6.912252892424811590e-05,1.036387176738796597e+03
6.955999618286875564e-05,1.042712900967168935e+03
7.000023211337313934e-05,1.049077196759695425e+03
7.044325423831601749e-05,1.055480298476084954e+03
7.088908019115008506e-05,1.061922441891261769e+03
7.133772771692781266e-05,1.068403864203815829e+03
7.178921467300764165e-05,1.074924804044513621e+03
7.224355902976500388e-05,1.081485501484883798e+03
7.270077887130735306e-05,1.088086198045840320e+03
7.316089239619402078e-05,1.094727136706329247e+03
7.362391791816065329e-05,1.101408561912067171e+03
7.408987386684802575e-05,1.108130719584327608e+03
7.455877878853570833e-05,1.114893857128763557e+03
7.503065134688017743e-05,1.121698223444253927e+03
7.550551032365768395e-05,1.128544068931864558e+03
7.598337461951182423e-05,1.135431645503834716e+03
7.646426325470588147e-05,1.142361206590800748e+03
7.694819536987982929e-05,1.149333007056902261e+03
7.743519022681218697e-05,1.156347303159999001e+03
7.792526720918672664e-05,1.163404352688162135e+03
7.841844582336393729e-05,1.170504414980070351e+03
7.891474569915744907e-05,1.177647750934241230e+03
7.941418659061541779e-05,1.184834623018285583e+03
7.991678837680670703e-05,1.192065295278233862e+03
8.042257106261211177e-05,1.199340033347901908e+03
8.093155477952069133e-05,1.206659104458325146e+03
8.144375978643102188e-05,1.214022777447248473e+03
8.195920647045750406e-05,1.221431322768645487e+03
8.247791534774190185e-05,1.228885012502329573e+03
8.299990706426986877e-05,1.236384120363613192e+03
8.352520239669277314e-05,1.243928921712980355e+03
8.405382225315461905e-05,1.251519693565889611e+03
8.458578767412426645e-05,1.259156714612354790e+03
8.512111983323292306e-05,1.266840265342520979e+03
8.565984003811679987e-05,1.274570628021038601e+03
8.620196973126541804e-05,1.282348086614339309e+03
8.674753049087483535e-05,1.290172926799067000e+03
8.729654403170668665e-05,1.298045435972292580e+03
8.784903220595242858e-05,1.305965903261764652e+03
8.840501700410316780e-05,1.313934619536211358e+03
8.896452055582477483e-05,1.321951877415715444e+03
8.952756513083893379e-05,1.330017971282189819e+03
9.009417313980935577e-05,1.338133197289806049e+03
9.066436713523392805e-05,1.346297853375649083e+03
9.123816981234217610e-05,1.354512239270239206e+03
9.181560400999881047e-05,1.362776656508253154e+03
9.239669271161260000e-05,1.371091408439325505e+03
9.298145904605126222e-05,1.379456800238775031e+03
9.356992628856204588e-05,1.387873138835509963e+03
9.416211786169811394e-05,1.396340732596462203e+03
9.475805733625083547e-05,1.404859891610222803e+03
9.535776843218797289e-05,1.413430927819728595e+03
9.596127501959781877e-05,1.422054155033213647e+03
9.656860111963925511e-05,1.430729888935099098e+03
9.717977090549789765e-05,1.439458447097098087e+03
9.779480870334816269e-05,1.448240148989259524e+03
9.841373899332163584e-05,1.457075315991107800e+03
9.903658641048134956e-05,1.465964271402909162e+03
9.966337574580241701e-05,1.474907340456912152e+03
1.002941319471586560e-04,1.483904850328716748e+03
1.009288801203156910e-04,1.492957130148657143e+03
1.015676455299301676e-04,1.502064511013297761e+03
1.022104536005554040e-04,1.511227325996981790e+03
1.028573299176532634e-04,1.520445910163760800e+03
1.035083002286126268e-04,1.529720600634645734e+03
1.041633904437741531e-04,1.539051736661715267e+03
1.048226266374615727e-04,1.548439659540557841e+03
1.054860350490195535e-04,1.557884712607892880e+03
1.061536420838580451e-04,1.567387241253615684e+03
1.068254743145033718e-04,1.576947592932806174e+03
1.075015584816557370e-04,1.586566117178008426e+03
1.081819214952537463e-04,1.596243165611342647e+03
1.088665904355453831e-04,1.605979091956847014e+03
1.095555925541658813e-04,1.615774252052802012e+03
1.102489552752225239e-04,1.625629003864255310e+03
1.109467061963859738e-04,1.635543707495431590e+03
1.116488730899889908e-04,1.645518725202337464e+03
1.123554839041316402e-04,1.655554421405452103e+03
1.130665667637938197e-04,1.665651162702425836e+03
1.137821499719546845e-04,1.675809317855612335e+03
1.145022620107191333e-04,1.686029257289229690e+03
1.152269315424514913e-04,1.696311353108829053e+03
1.159561874109164424e-04,1.706655979601030140e+03
1.166900586424269291e-04,1.717063513266729842e+03
1.174285744469995318e-04,1.727534332833804683e+03
1.181717642195172083e-04,1.738068819269987898e+03
1.189196575408991752e-04,1.748667355795711728e+03
1.196722841792783644e-04,1.759330327897127063e+03
1.204296740911861314e-04,1.770058123339076246e+03
1.211918574227448909e-04,1.780851132178260059e+03
1.219588645108677191e-04,1.791709746776368775e+03
1.227307258844659646e-04,1.802634361813377382e+03
1.235074722656645042e-04,1.813625374300830345e+03
1.242891345710243022e-04,1.824683183595282571e+03
1.250757439127731430e-04,1.835808191411718781e+03
1.258673316000439928e-04,1.847000801868180588e+03
1.266639291401211280e-04,1.858261421693781585e+03
1.274655682396942040e-04,1.869590460122296008e+03
1.282722808061203211e-04,1.880988328809782843e+03
1.290840989486938966e-04,1.892455441848146393e+03
1.299010549799248574e-04,1.903992215779246635e+03
1.307231814168246934e-04,1.915599069608953641e+03
1.315505109822006974e-04,1.927276424821438468e+03
1.323830766059584164e-04,1.939024705393434715e+03
1.332209114264124527e-04,1.950844337808616274e+03
1.340640487916052869e-04,1.962735751072101039e+03
1.349125222606347753e-04,1.974699376724876174e+03
1.357663656049898056e-04,1.986735648858515106e+03
1.366256128098945180e-04,1.998845004129887457e+03
1.374902980756609013e-04,2.011027881775852165e+03
1.383604558190503614e-04,2.023284723627942185e+03
1.392361206746431769e-04,2.035615973797362358e+03
1.401173274962174147e-04,2.048022078023321683e+03
1.410041113581359494e-04,2.060503484468413717e+03
1.418965075567427266e-04,2.073060643913146123e+03
1.427945516117674007e-04,2.085694009770683351e+03
1.436982792677393781e-04,2.098404038101571587e+03
1.446077264954102914e-04,2.111191187628702664e+03
1.455229294931860396e-04,2.124055919752206137e+03
1.464439246885672330e-04,2.136998698564464121e+03
1.473707487395993401e-04,2.150019990865299860e+03
1.483034385363317257e-04,2.163120266177103531e+03
1.492420312022858775e-04,2.176299996760100385e+03
1.501865640959332282e-04,2.189559657627760316e+03
1.511370748121818128e-04,2.202899726562177420e+03
1.520936011838729834e-04,2.216320684129579604e+03
1.530561812832869858e-04,2.229823013692407130e+03
1.540248534236585392e-04,2.243407201280957906e+03
1.549996561607016037e-04,2.257073735555519306e+03
1.559806282941441496e-04,2.270823108001091441e+03
1.569678088692724955e-04,2.284655812956629688e+03
1.579612371784853487e-04,2.298572347630902641e+03
1.589609527628576592e-04,2.312573212118460106e+03
1.599669954137146910e-04,2.326658909415665676e+03
1.609794051742157166e-04,2.340829945436844810e+03
1.619982223409475769e-04,2.355086829030455647e+03
1.630234874655291653e-04,2.369430071995442177e+03
1.640552413562248828e-04,2.383860189097534658e+03
1.650935250795694238e-04,2.398377698085774227e+03
1.661383799620018583e-04,2.412983119709023413e+03
1.671898475915109354e-04,2.427676977732617161e+03
1.682479698192902002e-04,2.442459798955102087e+03
1.693127887614038151e-04,2.457332113179216321e+03
1.703843468004628456e-04,2.472294452767351231e+03
1.714626865873122787e-04,2.487347352836922255e+03
1.725478510427286391e-04,2.502491351580209084e+03
1.736398833591282589e-04,2.517726990285895226e+03
1.747388270022865234e-04,2.533054813355790884e+03
1.758447257130679601e-04,2.548475368322003305e+03
1.769576235091671146e-04,2.563989205863946609e+03
1.780775646868606760e-04,2.579596879825548967e+03
1.792045938227705790e-04,2.595298947232462069e+03
1.803387557756382196e-04,2.611095968309461568e+03
1.814800956881099190e-04,2.626988506497887101e+03
1.826286589885339621e-04,2.642977128473085941e+03
1.837844913927683956e-04,2.659062404162130406e+03
1.849476389060009704e-04,2.675244906761422499e+03
1.861181478245800059e-04,2.691525212754528184e+03
1.872960647378573177e-04,2.707903901567771754e+03
1.884814365300424739e-04,2.724381554362533734e+03
1.896743103820688967e-04,2.740958755163676415e+03
1.908747337734720533e-04,2.757636091296688846e+03
1.920827544842787320e-04,2.774414153404957233e+03
1.932984205969094107e-04,2.791293535467365928e+03
1.945217804980915483e-04,2.808274834815669692e+03
1.957528828807860225e-04,2.825358652152147442e+03
1.969917767461246529e-04,2.842545591567243719e+03
1.982385114053611961e-04,2.859836260557372498e+03
1.994931364818334802e-04,2.877231270042750566e+03
2.007557019129388757e-04,2.894731234385260450e+03
2.020262579521221258e-04,2.912336771406519347e+03
2.033048551708748863e-04,2.930048502405938507e+03
2.045915444607494143e-04,2.947867052178875383e+03
2.058863770353835324e-04,2.965793049031422015e+03
2.071894044325396070e-04,2.983827124428590196e+03
2.085006785161553158e-04,3.001969912676233889e+03
2.098202514784085660e-04,3.020222051546267267e+03
2.111481758417944996e-04,3.038584182369970677e+03
2.124845044612159442e-04,3.057056950056371988e+03
2.138292905260876051e-04,3.075641003110479232e+03
2.151825875624526721e-04,3.094336993651712419e+03
2.165444494351137646e-04,3.113145577432356731e+03
2.179149303497763450e-04,3.132067413856272196e+03
2.192940848552068502e-04,3.151103165997308679e+03
2.206819678454033460e-04,3.170253500618230646e+03
2.220786345617808174e-04,3.189519088189395916e+03
2.234841405953697955e-04,3.208900602907722714e+03
2.248985418890289429e-04,3.228398722715684926e+03
2.263218947396718693e-04,3.248014129320245502e+03
2.277542558005077170e-04,3.267747508168950390e+03
2.291956820832964366e-04,3.287599547733106647e+03
