R,DeltaSigma,DeltaSigma_err
0.2050439475826448,70359479.31484668,17704859.6038404
0.2820941303562758,57970551.13180691,13219721.036189547
0.3885179508116123,32880685.753519543,9799730.990625957
0.5347225765234775,31221498.33651306,7275383.726225341
0.7358634710409107,19051890.875465106,5392315.994165506
1.012824479311858,21882170.85947789,3975489.927027766
1.3936196567983847,14995273.785901451,2913020.140105562
1.9185076875760276,13480433.906101188,2132919.8102737446
2.6401625606393626,7329152.661648631,1558648.7847285431
3.6326100825317753,5160846.42672042,1139364.1421641181
4.998118891827329,4465736.008036605,830981.163610604
6.877509441223929,2492171.601643612,604994.494865665
9.462138176133829,1701900.8885553111,441279.1748910317
13.023443326547184,1397757.844036685,321156.2452283003
17.918353253637093,1052745.54211971,234403.1024496468
