name_raw,name,L36_1e9_Lsun,MHI_1e9_Msun,Distance_Mpc
Title: SPAR,TITLE:SPAR,,,
Spit,SPIT,,,
Authors: Fe,AUTHORS:FE,,,
Bytes Fo,BYTESFO,,,
1- 11 A1,111A1,,,
12- 13 I2,1213I2,,,
14- 19 F6,1419F6,,,
20- 24 F5,2024F5,,,
25- 26 I2,2526I2,,,
27- 30 F4,2730F4,,,
31- 34 F4,3134F4,,,
35- 41 F7,3541F7,,,
42- 48 F7,4248F7,,,
49- 53 F5,4953F5,,,
54- 61 F8,5461F8,,,
62- 66 F5,6266F5,,,
67- 74 F8,6774F8,,,
75- 81 F7,7581F7,,,
82- 86 F5,8286F5,,,
87- 91 F5,8791F5,,,
92- 96 F5,9296F5,,,
97- 99 I3,9799I3,,,
100-113 A1,100113A1,,,
Note (1):,NOTE(1):,,,
"0 = S0,  1","0=S0,1",,,
"6 = Scd, 7","6=SCD,7",,,
Note (2):,NOTE(2):,,,
1 = Hubble,1=HUBBLE,,,
2 = Magnit,2=MAGNIT,,,
3 = Cephei,3=CEPHEI,,,
4 = Ursa M,4=URSAM,,,
5 = Supern,5=SUPERN,,,
Note (3):,NOTE(3):,,,
"1 = High,","1=HIGH,",,,
Note (4):,NOTE(4):,,,
Ba05 = Bar,BA05=BAR,,,
BC04 = Beg,BC04=BEG,,,
Be87 = Beg,BE87=BEG,,,
Be91 = Beg,BE91=BEG,,,
Bl99 = Bla,BL99=BLA,,,
Bl04 = Bla,BL04=BLA,,,
Bm03 = Beg,BM03=BEG,,,
Bo08 = Boo,BO08=BOO,,,
Bt06 = Bat,BT06=BAT,,,
Br92 = Bro,BR92=BRO,,,
Ca88 = Car,CA88=CAR,,,
Ca90 = Car,CA90=CAR,,,
CB89 = Car,CB89=CAR,,,
CP90 = Car,CP90=CAR,,,
CG91 = Cas,CG91=CAS,,,
Ch06 = Che,CH06=CHE,,,
Co91 = Cot,CO91=COT,,,
Co00 = Cot,CO00=COT,,,
Da06 = Dai,DA06=DAI,,,
dB96 = de,DB96=DE,,,
dB97 = de,DB97=DE,,,
dB01 = de,DB01=DE,,,
dB02 = de,DB02=DE,,,
Di08 = Dic,DI08=DIC,,,
El10 = Els,EL10=ELS,,,
Fr11 = Fra,FR11=FRA,,,
Ge04 = Gen,GE04=GEN,,,
Ge07 = Gen,GE07=GEN,,,
Ha14 = Hal,HA14=HAL,,,
JC90 = Job,JC90=JOB,,,
Ke07 = Kep,KE07=KEP,,,
KN08 = Kuz,KN08=KUZ,,,
La90 = Lak,LA90=LAK,,,
Le12 = Lel,LE12=LEL,,,
Le14 = Lel,LE14=LEL,,,
MC94 = Mar,MC94=MAR,,,
No05 = Noo,NO05=NOO,,,
No07 = Noo,NO07=NOO,,,
Pu91 = Puc,PU91=PUC,,,
RA85 = Roe,RA85=ROE,,,
Rh96 = Rhe,RH96=RHE,,,
Ri15 = Ric,RI15=RIC,,,
SA87 = San,SA87=SAN,,,
Sa96 = San,SA96=SAN,,,
Si03 = Sim,SI03=SIM,,,
SV98 = San,SV98=SAN,,,
SG06 = Spe,SG06=SPE,,,
Sw02 = Swa,SW02=SWA,,,
Sw09 = Swa,SW09=SWA,,,
Tr09 = Tra,TR09=TRA,,,
Vd99 = Ver,VD99=VER,,,
VH93 = van,VH93=VAN,,,
VM97 = Ver,VM97=VER,,,
VS01 = Ver,VS01=VER,,,
vZ97 = van,VZ97=VAN,1618.0,,
Wa97 = Wal,WA97=WAL,,,
CamB,CAMB,,0.47,
D512-2,D5122,,0.24,
D564-8,D5648,,0.61,
D631-7,D6317,,,
DDO064,DDO064,,,
DDO154,DDO154,,0.37,
DDO161,DDO161,,,
DDO168,DDO168,,0.02,
DDO170,DDO170,,0.95,
ESO079-G014,ESO079G014,,,
ESO116-G012,ESO116G012,,,
ESO444-G084,ESO444G084,,0.46,
ESO563-G021,ESO563G021,,,
F561-1,F5611,,0.79,
F563-1,F5631,,0.52,
F563-V1,F563V1,,0.79,
F563-V2,F563V2,,,
F565-V2,F565V2,,0.17,
F567-2,F5672,,0.08,
F568-1,F5681,,0.18,
F568-3,F5683,,,
F568-V1,F568V1,,0.85,
F571-8,F5718,,0.56,
F571-V1,F571V1,,0.47,
F574-1,F5741,,,
F574-2,F5742,,0.76,
F579-V1,F579V1,,,
F583-1,F5831,,0.36,
F583-4,F5834,,0.93,
IC2574,IC2574,,0.78,
IC4202,IC4202,,,
KK98-251,KK98251,,0.34,
NGC0024,NGC0024,,,
NGC0055,NGC0055,,,
NGC0100,NGC0100,,,
NGC0247,NGC0247,,,
NGC0289,NGC0289,,0.74,
NGC0300,NGC0300,,,
NGC0801,NGC0801,,,
NGC0891,NGC0891,,,
NGC1003,NGC1003,,,
NGC1090,NGC1090,,,
NGC1705,NGC1705,,,
NGC2366,NGC2366,,,
NGC2403,NGC2403,,,
NGC2683,NGC2683,,,
NGC2841,NGC2841,,,
NGC2903,NGC2903,,,
NGC2915,NGC2915,,,
NGC2955,NGC2955,,0.76,
NGC2976,NGC2976,,,
NGC2998,NGC2998,,,
NGC3109,NGC3109,,,
NGC3198,NGC3198,,,
NGC3521,NGC3521,,,
NGC3726,NGC3726,,,
NGC3741,NGC3741,,,
NGC3769,NGC3769,,,
NGC3877,NGC3877,,,
NGC3893,NGC3893,,,
NGC3917,NGC3917,,,
NGC3949,NGC3949,,,
NGC3953,NGC3953,,,
NGC3972,NGC3972,,,
NGC3992,NGC3992,,,
NGC4010,NGC4010,,,
NGC4013,NGC4013,,,
NGC4051,NGC4051,,,
NGC4068,NGC4068,,,
NGC4085,NGC4085,,,
NGC4088,NGC4088,,,
NGC4100,NGC4100,,,
NGC4138,NGC4138,,,
NGC4157,NGC4157,,,
NGC4183,NGC4183,,,
NGC4214,NGC4214,,,
NGC4217,NGC4217,,,
NGC4389,NGC4389,,,
NGC4559,NGC4559,,,
NGC5005,NGC5005,,0.45,
NGC5033,NGC5033,,,
NGC5055,NGC5055,,,
NGC5371,NGC5371,,,
NGC5585,NGC5585,,,
NGC5907,NGC5907,,,
NGC5985,NGC5985,,,
NGC6015,NGC6015,,,
NGC6195,NGC6195,,,
NGC6503,NGC6503,,,
NGC6674,NGC6674,,,
NGC6789,NGC6789,,,
NGC6946,NGC6946,,,
NGC7331,NGC7331,,,
NGC7793,NGC7793,,,
NGC7814,NGC7814,,,
PGC51017,PGC51017,,0.53,
UGC00128,UGC00128,,0.95,
UGC00191,UGC00191,,,
UGC00634,UGC00634,,,
UGC00731,UGC00731,,0.3,
UGC00891,UGC00891,,,
UGC01230,UGC01230,,0.34,
UGC01281,UGC01281,,,
UGC02023,UGC02023,,,
UGC02259,UGC02259,,,
UGC02455,UGC02455,,,
UGC02487,UGC02487,,,
UGC02885,UGC02885,,,
UGC02916,UGC02916,,,
UGC02953,UGC02953,,,
UGC03205,UGC03205,,,
UGC03546,UGC03546,,,
UGC03580,UGC03580,,,
UGC04278,UGC04278,,,
UGC04305,UGC04305,,0.16,
UGC04325,UGC04325,,,
UGC04483,UGC04483,,0.18,
UGC04499,UGC04499,,,
UGC05005,UGC05005,,0.2,
UGC05253,UGC05253,,,
UGC05414,UGC05414,,,
UGC05716,UGC05716,,0.14,
UGC05721,UGC05721,,,
UGC05750,UGC05750,,,
UGC05764,UGC05764,,0.17,
UGC05829,UGC05829,,0.99,
