Galaxy,Vflat_kms,N_flat
CamB,13.008571428571429,7
D512-2,,0
D564-8,19.05666666666667,6
D631-7,56.44285714285714,7
DDO064,46.5,4
DDO154,48.2,1
DDO161,66.69999999999999,2
DDO168,49.57142857142857,7
DDO170,55.75714285714286,7
ESO079-G014,164.85714285714286,7
ESO116-G012,108.0,1
ESO444-G084,62.7,1
ESO563-G021,316.1666666666667,6
F561-1,50.4,2
F563-1,112.0,1
F563-V1,29.5,1
F563-V2,118.0,2
F565-V2,60.47142857142857,7
F567-2,47.6,1
F568-1,126.57142857142857,7
F568-3,85.5,1
F568-V1,111.0,2
F571-8,125.14285714285714,7
F571-V1,84.1,2
F574-1,99.7,1
F574-2,28.32,5
F579-V1,114.0,3
F583-1,80.08571428571427,7
F583-4,63.25714285714287,7
IC2574,64.44285714285715,7
IC4202,240.0,1
KK98-251,30.957142857142856,7
NGC0024,106.0,1
NGC0055,87.1,2
NGC0100,79.0,1
NGC0247,105.0,1
NGC0289,175.0,6
NGC0300,88.45,2
NGC0801,219.5,6
NGC0891,224.83333333333334,6
NGC1003,106.5,2
NGC1090,165.0,5
NGC1705,71.8375,8
NGC2366,51.6,1
NGC2403,118.85999999999999,10
NGC2683,192.0,2
NGC2841,311.1,10
NGC2903,206.8,5
NGC2915,83.1,2
NGC2955,266.25,4
NGC2976,81.74285714285715,7
NGC2998,213.2,5
NGC3109,64.95714285714286,7
NGC3198,153.5,2
NGC3521,210.33333333333334,6
NGC3726,160.57142857142858,7
NGC3741,34.833333333333336,3
NGC3769,118.57142857142857,7
NGC3877,171.0,1
NGC3893,187.0,2
NGC3917,137.0,5
NGC3949,153.14285714285714,7
NGC3953,223.5,2
NGC3972,134.0,1
NGC3992,258.0,2
NGC4010,129.0,1
NGC4013,181.66666666666666,9
NGC4051,153.0,1
NGC4068,24.763333333333335,6
NGC4085,108.58571428571429,7
NGC4088,182.0,1
NGC4100,184.25,4
NGC4138,165.57142857142858,7
NGC4157,183.66666666666666,3
NGC4183,109.5,4
NGC4214,80.3,8
NGC4217,191.0,1
NGC4389,73.10000000000001,6
NGC4559,122.0,3
NGC5005,256.3636363636364,11
NGC5033,216.0,9
NGC5055,192.77777777777777,9
NGC5371,221.71428571428572,7
NGC5585,61.050000000000004,2
NGC5907,225.33333333333334,3
NGC5985,296.6,5
NGC6015,155.0,1
NGC6195,249.4,5
NGC6503,115.88888888888889,9
NGC6674,241.0,3
NGC6789,,0
NGC6946,163.6,10
NGC7331,249.83333333333334,6
NGC7793,96.7,4
NGC7814,219.7,10
PGC51017,19.224999999999998,4
UGC00128,130.0,2
UGC00191,66.64285714285714,7
UGC00634,,0
UGC00731,73.9,3
UGC00891,49.190000000000005,5
UGC01230,103.0,2
UGC01281,54.34285714285714,7
UGC02023,37.48,5
UGC02259,83.22857142857143,7
UGC02455,40.300000000000004,7
UGC02487,359.8,5
UGC02885,287.4,10
UGC02916,213.0,10
UGC02953,262.8965517241379,29
UGC03205,223.46666666666667,15
UGC03546,213.55555555555554,9
UGC03580,98.88571428571429,7
UGC04278,86.88571428571427,7
UGC04305,35.3,1
UGC04325,92.7,1
UGC04483,24.2,1
UGC04499,68.12857142857143,7
UGC05005,99.1,1
UGC05253,244.47457627118644,59
UGC05414,45.18333333333333,6
UGC05716,72.5,1
UGC05721,79.97142857142856,7
UGC05750,78.9,1
UGC05764,52.849999999999994,2
UGC05829,56.44285714285714,7
UGC05918,37.91428571428571,7
UGC05986,116.0,2
UGC05999,83.24,5
UGC06399,78.25714285714287,7
UGC06446,80.5,1
UGC06614,187.25,4
UGC06628,42.3,3
UGC06667,77.0,7
UGC06786,213.10526315789474,19
UGC06787,243.0,13
UGC06818,55.61428571428571,7
UGC06917,103.92857142857143,7
UGC06923,67.7,6
UGC06930,108.25,4
UGC06973,171.33333333333334,3
UGC06983,111.0,2
UGC07089,72.27142857142857,7
UGC07125,65.35,4
UGC07151,70.84285714285714,7
UGC07232,,0
UGC07261,67.2,7
UGC07323,71.37142857142858,7
UGC07399,97.39999999999999,7
UGC07524,77.0,1
UGC07559,23.65857142857143,7
UGC07577,12.437142857142858,7
UGC07603,60.5,1
UGC07608,54.17142857142857,7
UGC07690,60.7,1
UGC07866,24.771428571428572,7
UGC08286,83.05714285714285,7
UGC08490,79.42727272727272,11
UGC08550,57.4,2
UGC08699,189.0,7
UGC08837,33.8,7
UGC09037,152.28571428571428,7
UGC09133,281.8666666666667,30
UGC09992,32.02,5
UGC10310,62.74285714285714,7
UGC11455,260.6,5
UGC11557,76.51428571428572,7
UGC11820,64.47857142857143,7
UGC11914,288.8333333333333,30
UGC12506,245.33333333333334,3
UGC12632,73.05,2
UGC12732,89.10000000000001,7
UGCA281,22.114285714285717,7
UGCA442,57.8,1
UGCA444,30.8,1
