Galaxy,R_kpc,V_obs_kms,V_baryon_kms
D631-7_rotmod,0.45,8.41,13.052206709978202
D631-7_rotmod,0.9,17.8,20.57645499108143
D631-7_rotmod,1.35,26.0,26.643340631384795
D631-7_rotmod,1.8,30.9,28.40977472631559
D631-7_rotmod,2.25,34.7,28.156995578363823
D631-7_rotmod,2.69,38.8,27.869512015821158
D631-7_rotmod,3.14,42.5,27.03890715247197
D631-7_rotmod,3.59,45.6,26.289056658617476
D631-7_rotmod,4.04,48.8,25.52609057415569
D631-7_rotmod,4.49,51.8,24.616459940454476
D631-7_rotmod,4.94,54.8,23.785779364990336
D631-7_rotmod,5.39,56.6,22.912599154177162
D631-7_rotmod,5.84,58.4,22.092193191261025
D631-7_rotmod,6.29,58.5,21.303694515271285
D631-7_rotmod,6.74,57.7,20.562927807099843
D631-7_rotmod,7.19,57.3,19.850120906432785
