Galaxy,R_kpc,V_obs_kms,V_baryon_kms
DDO064_rotmod,0.1,6.29,2.262410219213129
DDO064_rotmod,0.3,13.9,6.768943787622999
DDO064_rotmod,0.49,15.6,9.691155761827378
DDO064_rotmod,0.69,18.4,14.140951170271396
DDO064_rotmod,0.89,22.5,15.274897708331798
DDO064_rotmod,1.09,26.5,17.146107429967888
DDO064_rotmod,1.29,35.3,19.671799612643476
DDO064_rotmod,1.48,40.5,22.844255295369116
DDO064_rotmod,1.68,44.2,25.09904380648793
DDO064_rotmod,1.88,46.3,26.6757792763398
DDO064_rotmod,2.08,46.4,27.395977806970134
DDO064_rotmod,2.27,46.3,27.55252801468497
DDO064_rotmod,2.37,46.4,27.75392224533318
DDO064_rotmod,2.98,46.9,28.065868951450625
