Galaxy,R_kpc,V_obs_kms,V_baryon_kms
ESO116-G012_rotmod,0.25,20.9,17.33139636613276
ESO116-G012_rotmod,0.83,40.0,35.00630800298712
ESO116-G012_rotmod,1.38,51.5,51.36339260601854
ESO116-G012_rotmod,1.85,67.9,61.93297183245771
ESO116-G012_rotmod,2.68,80.2,61.776141834854016
ESO116-G012_rotmod,3.19,83.3,65.33506944972203
ESO116-G012_rotmod,3.68,91.4,68.19718249312064
ESO116-G012_rotmod,4.13,102.0,69.97198367918405
ESO116-G012_rotmod,5.23,105.0,69.42425584765024
ESO116-G012_rotmod,6.05,109.0,65.99247305564477
ESO116-G012_rotmod,6.81,108.0,62.639955300111765
ESO116-G012_rotmod,7.56,109.0,61.778006604292436
ESO116-G012_rotmod,8.32,110.0,61.35031621760397
ESO116-G012_rotmod,9.09,111.0,60.56720647347044
ESO116-G012_rotmod,9.86,112.0,57.32175154337139
