Galaxy,R_kpc,V_obs_kms,V_baryon_kms
F568-3_rotmod,0.64,12.4,13.611245350811954
F568-3_rotmod,1.18,21.9,21.226667190117247
F568-3_rotmod,1.8,32.3,27.76613765002255
F568-3_rotmod,2.03,37.9,29.79981879139536
F568-3_rotmod,2.78,53.1,36.42926845271532
F568-3_rotmod,3.0,62.4,38.11444345651658
F568-3_rotmod,3.64,68.0,42.50319517401015
F568-3_rotmod,4.19,78.0,45.735798888835426
F568-3_rotmod,4.6,82.3,46.93404414707942
F568-3_rotmod,5.14,85.7,48.025644191410905
F568-3_rotmod,5.39,85.5,48.93230630166536
F568-3_rotmod,6.31,89.5,52.515719551387654
F568-3_rotmod,9.1,95.2,57.83659913929933
F568-3_rotmod,10.17,97.5,59.992083644427616
F568-3_rotmod,11.99,101.0,61.64088253748481
F568-3_rotmod,14.02,107.0,61.95728367189769
F568-3_rotmod,15.94,117.0,62.64542281763289
F568-3_rotmod,17.98,120.0,62.60240330849927
