Galaxy,R_kpc,V_obs_kms,V_baryon_kms
F568-V1_rotmod,0.39,17.4,12.30018699044856
F568-V1_rotmod,1.18,46.3,29.12108686158537
F568-V1_rotmod,1.95,69.1,34.879296151155344
F568-V1_rotmod,2.74,85.2,37.08001213592034
F568-V1_rotmod,3.53,93.2,41.37856449902534
F568-V1_rotmod,4.3,100.0,44.97301968958722
F568-V1_rotmod,5.09,108.0,46.422288827674144
F568-V1_rotmod,5.87,112.0,46.55347570267981
F568-V1_rotmod,6.4,113.0,47.139547091587545
F568-V1_rotmod,7.44,113.0,48.83667883875806
F568-V1_rotmod,8.21,112.0,50.11723256525644
F568-V1_rotmod,9.0,111.0,50.10559350012731
F568-V1_rotmod,9.72,111.0,50.89229902450861
F568-V1_rotmod,11.79,113.0,53.23425400998872
F568-V1_rotmod,17.63,118.0,48.939710869599544
