Galaxy,R_kpc,V_obs_kms,V_baryon_kms
IC4202_rotmod,0.77,35.1,135.41353846643253
IC4202_rotmod,1.59,77.9,181.3490504524355
IC4202_rotmod,2.36,115.0,186.30282982284513
IC4202_rotmod,3.13,156.0,188.001365154618
IC4202_rotmod,3.95,192.0,196.11701252058683
IC4202_rotmod,4.73,204.0,204.51862726900941
IC4202_rotmod,5.5,209.0,206.54727788087646
IC4202_rotmod,6.27,220.0,207.24817610777666
IC4202_rotmod,7.08,231.0,213.0514801638327
IC4202_rotmod,7.86,235.0,222.65660376463126
IC4202_rotmod,8.66,245.0,231.89626344553292
IC4202_rotmod,9.45,246.0,238.70599762050387
IC4202_rotmod,10.24,239.0,242.98477832983693
IC4202_rotmod,11.02,240.0,244.92552521123642
IC4202_rotmod,11.79,240.0,245.14606523458622
IC4202_rotmod,12.47,246.0,244.03631266678326
IC4202_rotmod,13.34,241.0,241.6927334447604
IC4202_rotmod,14.11,250.0,239.12264008244807
IC4202_rotmod,14.59,242.0,237.50460648164278
IC4202_rotmod,14.98,244.0,236.18659000883179
IC4202_rotmod,15.75,248.0,233.40705280689355
IC4202_rotmod,16.52,249.0,230.50526544962048
IC4202_rotmod,17.1,246.0,228.11197097039866
IC4202_rotmod,17.88,241.0,224.71569282095098
IC4202_rotmod,18.65,247.0,221.31097781176604
IC4202_rotmod,19.62,234.0,217.1471986924998
IC4202_rotmod,20.78,249.0,212.86505467079374
IC4202_rotmod,22.13,236.0,208.49436083501155
IC4202_rotmod,23.0,245.0,205.49872846321944
IC4202_rotmod,23.58,243.0,203.54549786227156
IC4202_rotmod,25.03,238.0,197.70218966920928
IC4202_rotmod,25.9,247.0,194.22158196245852
