Galaxy,R_kpc,V_obs_kms,V_baryon_kms
KK98-251_rotmod,0.25,4.25,3.433846240005513
KK98-251_rotmod,0.41,6.84,5.14463798532025
KK98-251_rotmod,0.57,9.56,6.788225099390856
KK98-251_rotmod,0.74,12.3,9.051143574156804
KK98-251_rotmod,0.9,15.1,10.940100547984008
KK98-251_rotmod,1.07,17.5,13.004526135157713
KK98-251_rotmod,1.24,19.7,14.983167221919402
KK98-251_rotmod,1.4,21.8,16.537185371156724
KK98-251_rotmod,1.57,24.4,17.883402920026153
KK98-251_rotmod,1.72,27.3,19.01036822368257
KK98-251_rotmod,1.89,30.3,20.057180759019946
KK98-251_rotmod,2.06,32.6,20.81237372334064
KK98-251_rotmod,2.46,33.3,21.81966544198146
KK98-251_rotmod,2.79,34.6,22.22540213359479
KK98-251_rotmod,3.13,34.2,21.403518402356188
