Galaxy,R_kpc,V_obs_kms,V_baryon_kms
NGC6015_rotmod,0.34,35.5,42.03134306681146
NGC6015_rotmod,0.67,62.4,62.37163217360918
NGC6015_rotmod,1.0,90.7,80.55656646108994
NGC6015_rotmod,1.32,104.0,86.95633674436843
NGC6015_rotmod,1.65,105.0,92.40087553697745
NGC6015_rotmod,1.98,108.0,98.25408948232129
NGC6015_rotmod,2.31,116.0,105.29042739014787
NGC6015_rotmod,2.63,130.0,112.61435476883042
NGC6015_rotmod,2.96,141.0,121.26337493241725
NGC6015_rotmod,3.28,146.0,129.622290135609
NGC6015_rotmod,3.61,150.0,137.51253215616384
NGC6015_rotmod,3.94,152.0,143.79205332701804
NGC6015_rotmod,4.27,155.0,148.26468898561112
NGC6015_rotmod,4.6,152.0,150.04488828347334
NGC6015_rotmod,4.94,150.0,150.04030191918437
NGC6015_rotmod,5.3,147.0,148.24142909456856
NGC6015_rotmod,5.63,145.0,146.54273813464795
NGC6015_rotmod,5.96,152.0,146.58814174413973
NGC6015_rotmod,6.27,149.0,146.33499000580824
NGC6015_rotmod,8.24,149.0,139.60269803983016
NGC6015_rotmod,10.3,146.0,129.0996982955421
NGC6015_rotmod,11.13,149.0,126.35197188805563
NGC6015_rotmod,11.95,152.0,124.19926650347014
NGC6015_rotmod,12.72,153.0,121.46296307928603
NGC6015_rotmod,13.58,156.0,118.21809421573332
NGC6015_rotmod,14.43,158.0,115.26074657054758
NGC6015_rotmod,15.29,158.0,112.37612557834515
NGC6015_rotmod,16.02,159.0,109.95498033286168
NGC6015_rotmod,16.88,161.0,107.02304471467815
NGC6015_rotmod,17.73,163.0,104.3231307045566
NGC6015_rotmod,18.59,162.0,101.7283067783987
NGC6015_rotmod,19.32,164.0,99.78641641025095
NGC6015_rotmod,20.18,165.0,97.7684739576107
NGC6015_rotmod,21.04,166.0,95.75813699106725
NGC6015_rotmod,21.89,163.0,93.82427191297569
NGC6015_rotmod,22.63,159.0,92.37286398071677
NGC6015_rotmod,23.48,155.0,90.8207399221125
NGC6015_rotmod,24.34,154.0,89.24048912909431
NGC6015_rotmod,25.19,149.0,87.9238818524296
NGC6015_rotmod,25.93,153.0,87.92047543092565
NGC6015_rotmod,26.78,156.0,84.75266839457034
NGC6015_rotmod,27.64,151.0,82.73337234755996
NGC6015_rotmod,28.37,158.0,81.15792321147701
NGC6015_rotmod,29.23,152.0,79.66832494787373
