Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGC05005_rotmod,0.78,14.5,16.07969216123244
UGC05005_rotmod,2.34,32.6,30.635681810594654
UGC05005_rotmod,3.91,48.6,41.59642412515768
UGC05005_rotmod,5.47,58.1,46.84282762600909
UGC05005_rotmod,7.04,65.9,47.52295550573428
UGC05005_rotmod,8.6,72.5,48.72040434971778
UGC05005_rotmod,10.17,78.6,49.13347127977016
UGC05005_rotmod,17.97,97.1,48.90602928065209
UGC05005_rotmod,21.07,99.4,47.90366687425922
UGC05005_rotmod,22.72,100.0,47.447193805324254
UGC05005_rotmod,28.61,99.1,46.78923807885741
