Galaxy,R_kpc,V_obs_kms,V_baryon_kms
UGCA444_rotmod,0.12,6.48,2.296867431960321
UGCA444_rotmod,0.19,8.6,2.2887769659798662
UGCA444_rotmod,0.26,10.2,3.2727358585745967
UGCA444_rotmod,0.33,11.7,4.2304136913545465
UGCA444_rotmod,0.4,12.7,5.115310352266029
UGCA444_rotmod,0.47,14.1,6.122360655825497
UGCA444_rotmod,0.55,16.0,7.487062174177533
UGCA444_rotmod,0.62,18.1,8.782767217682592
UGCA444_rotmod,0.69,21.2,10.003929228058343
UGCA444_rotmod,0.76,21.6,11.087474915416944
UGCA444_rotmod,0.83,23.3,12.301174740649772
UGCA444_rotmod,0.9,24.5,13.121528112228392
UGCA444_rotmod,0.97,24.4,13.838410313327177
UGCA444_rotmod,1.04,25.3,14.451608906969495
UGCA444_rotmod,1.11,25.4,14.973459854021716
UGCA444_rotmod,1.19,25.9,15.400422072138154
UGCA444_rotmod,1.26,26.7,15.612280422795383
UGCA444_rotmod,1.33,27.1,15.824139787046876
UGCA444_rotmod,1.4,28.6,15.94420898006546
UGCA444_rotmod,1.48,28.9,16.067535591994186
UGCA444_rotmod,1.55,30.4,16.175057959710685
UGCA444_rotmod,1.62,30.8,16.377438749694655
UGCA444_rotmod,1.69,30.5,16.390109822694903
UGCA444_rotmod,1.75,33.0,16.393291310777098
UGCA444_rotmod,1.83,32.1,16.497639225052776
UGCA444_rotmod,1.9,32.9,16.5072105456979
UGCA444_rotmod,1.97,34.2,16.51361862221603
UGCA444_rotmod,2.04,32.6,16.516830809813364
UGCA444_rotmod,2.11,33.7,16.617957154837054
UGCA444_rotmod,2.19,33.8,16.52973381515867
UGCA444_rotmod,2.26,34.9,16.532973114355446
UGCA444_rotmod,2.33,36.1,16.54272347589719
UGCA444_rotmod,2.4,37.2,16.175104327329702
UGCA444_rotmod,2.48,37.6,15.723323440036461
UGCA444_rotmod,2.55,35.6,15.232202729743324
UGCA444_rotmod,2.62,38.3,14.774254634329273
