lens,thetaE_GR,thetaE_PFGM,sigma_GR,sigma_PFGM,thetaE_shift,thetaE_shift_sigma,parity
SDSSJ00290055,3.48,,229,,,,
SDSSJ00370942,4.95,,279,,,,
SDSSJ0044+0113,1.72,,266,,,,
SDSSJ02160813,5.53,,333,,,,
SDSSJ0252+0039,4.4,,164,,,,
SDSSJ03300020,5.45,,212,,,,
SDSSJ0728+3835,4.21,,214,,,,
SDSSJ0737+3216,4.66,,338,,,,
SDSSJ0819+4534,2.73,,225,,,,
SDSSJ0822+2652,4.45,,259,,,,
SDSSJ0912+0029,4.58,,326,,,,
SDSSJ09350003,4.26,,396,,,,
SDSSJ0936+0913,3.45,,243,,,,
SDSSJ0946+1006,4.95,,263,,,,
SDSSJ0956+5100,5.05,,334,,,,
SDSSJ0959+0410,2.24,,197,,,,
SDSSJ0959+4416,3.61,,244,,,,
SDSSJ1016+3859,3.13,,247,,,,
SDSSJ1020+1122,5.12,,282,,,,
SDSSJ1023+4230,4.5,,242,,,,
SDSSJ1029+0420,1.92,,210,,,,
SDSSJ1106+5228,2.17,,262,,,,
SDSSJ1112+0826,6.19,,320,,,,
SDSSJ1134+6027,2.93,,239,,,,
SDSSJ1142+1001,3.52,,221,,,,
SDSSJ11430144,3.27,,269,,,,
SDSSJ1153+4612,3.18,,226,,,,
SDSSJ1204+0358,3.68,,267,,,,
SDSSJ1205+4910,4.27,,281,,,,
SDSSJ1213+6708,3.13,,292,,,,
SDSSJ1218+0830,3.47,,219,,,,
SDSSJ1250+0523,4.18,,252,,,,
SDSSJ1306+0600,3.87,,237,,,,
SDSSJ1313+4615,4.25,,263,,,,
SDSSJ13180313,6.01,,213,,,,
SDSSJ13300148,1.32,,185,,,,
SDSSJ1402+6321,4.53,,267,,,,
SDSSJ1403+0006,2.62,,213,,,,
SDSSJ1416+5136,6.08,,240,,,,
SDSSJ1420+6019,1.26,,205,,,,
SDSSJ1430+4105,6.53,,322,,,,
SDSSJ14360000,4.8,,224,,,,
SDSSJ1443+0304,1.93,,209,,,,
SDSSJ14510239,2.33,,223,,,,
SDSSJ1525+3327,6.55,,264,,,,
SDSSJ15310105,4.71,,279,,,,
SDSSJ1538+5817,2.5,,189,,,,
SDSSJ1614+4522,2.54,,182,,,,
SDSSJ1621+3931,4.97,,236,,,,
SDSSJ16270053,4.18,,290,,,,
SDSSJ1630+4520,6.91,,276,,,,
SDSSJ1636+4707,3.96,,231,,,,
SDSSJ1644+2625,3.07,,229,,,,
SDSSJ1719+2939,3.89,,286,,,,
SDSSJ22380754,3.08,,198,,,,
SDSSJ2300+0022,4.51,,279,,,,
SDSSJ2303+1422,4.35,,255,,,,
SDSSJ23210939,2.47,,249,,,,
SDSSJ2341+0000,4.5,,207,,,,
