R,DS_model
0.2050439475826448,220263637.34809512
0.2820941303562758,236474420.5172787
0.3885179508116123,202336847.40627715
0.5347225765234775,204355953.2232365
0.7358634710409107,173612361.71672773
1.012824479311858,147441266.33486518
1.3936196567983847,113760758.02283032
1.918507687576028,78789630.76105449
2.6401625606393626,46508058.8225243
3.6326100825317753,23966547.736332394
4.998118891827329,10857002.315972034
6.877509441223929,5213705.319813121
9.462138176133829,2987677.552458329
13.023443326547184,2143757.008105512
17.918353253637093,1543870.5361752359
