Galaxy,Q,lam_kpc,eps,chi2,nu,chi2_red,flag_edge,flag_ok,status,lam_kpc_ll
CamB_rotmod,1,117.60664764183778,3.4496093741544695e-15,1.9183552821797876,7,0.27405075459711253,0,1,OK,
D564-8_rotmod,1,1.0337287837302402,3.0,0.4100871282743282,4,0.10252178206858205,1,1,EDGE_LOW,
D631-7_rotmod,1,2.9667006038828947,3.0,22.976577667879777,14,1.6411841191342698,1,1,EDGE_LOW,
DDO064_rotmod,1,0.4672310090825453,1.9197103792968608,0.7480033179245862,12,0.06233360982704885,1,1,EDGE_LOW,
DDO154_rotmod,1,0.9947372351670792,2.9999999999995843,7.298474415586296,10,0.7298474415586296,1,1,EDGE_LOW,
DDO161_rotmod,1,9.429755606881123,3.0,8.412210273544868,29,0.2900762163291334,0,1,OK,
DDO168_rotmod,1,2.598451404933535,3.0,1.7221430597485492,8,0.21526788246856865,1,1,EDGE_LOW,
DDO170_rotmod,1,4.343248356753391,3.0,0.6269190092085477,6,0.10448650153475796,0,1,OK,
ESO079-G014_rotmod,1,7.964449021297939,0.8832269547907567,12.626849753423205,13,0.971296134878708,0,1,OK,
ESO116-G012_rotmod,1,8.164107389883142,3.0,6.303580465135718,13,0.4848908050104398,0,1,OK,
ESO444-G084_rotmod,1,0.3000000000000006,3.0,15.585796774637153,5,3.1171593549274306,1,1,EDGE_LOW,
ESO563-G021_rotmod,1,110.16341529988502,3.0,232.4571632077027,28,8.302041543132239,0,1,OK,
F561-1_rotmod,1,199.9999999766484,9.71677412245572e-16,1.1738608781590751,4,0.2934652195397688,1,1,EDGE_UP,199.9999999766484
F563-1_rotmod,1,0.6593185692297088,2.999999999999987,90.28888663494855,15,6.01925910899657,1,1,EDGE_LOW,
F563-V1_rotmod,1,199.9999969777464,7.184332407717648e-12,0.2176313091681921,4,0.054407827292048024,1,1,EDGE_UP,199.9999969777464
F563-V2_rotmod,1,0.3,3.0,8.780581805645761,8,1.0975727257057202,1,1,EDGE_LOW,
F565-V2_rotmod,1,0.6986366159307537,2.99999999999986,10.728603967773797,5,2.1457207935547595,1,1,EDGE_LOW,
F568-1_rotmod,1,0.8450972797517946,3.0,25.80351186169801,10,2.5803511861698007,1,1,EDGE_LOW,
F568-3_rotmod,1,2.9763787471817595,2.1599319306650644,5.04368250461535,16,0.31523015653845937,1,1,EDGE_LOW,
F568-V1_rotmod,1,0.7325355227912653,3.0,23.725522313970952,13,1.8250401779977656,1,1,EDGE_LOW,
F571-8_rotmod,1,22.56940304406869,3.0,205.36758040797292,11,18.669780037088447,0,1,OK,
